Name,Phone,Email,Website,Category
NYONI SECURITY RISK CONSULTANTS & TRAINING CC,011-680 0547,isaac@nyonisecurity.co.za,N/A,N/A
KENTS (PTY) LTD,"016-910 9300, 011-933 4543",madiarossouw@kents.co.za,N/A,N/A
CONTINENTAL OUTDOOR MEDIA,"011-514 1401, 011-514 1400",N/A,N/A,N/A
SCHMIDHAUSER ELECTRICAL,"011-262 5757, 086-154 2548",N/A,N/A,N/A
CATERCARE CC,"011-914 2772, 011-914 2790",amanda@catercare.co.za,N/A,N/A
THE SCRAPBOOK TREASURY,084 549 8752,scrapbooktreasury@gmail.com,N/A,N/A
MSC STARLIGHT CRUISES,"011-807 5085, 011-798 3600",accounts@msccruises.co.za,N/A,N/A
BOTEX PANELBEATERS,"017-826 3881, 017-826 4400",botexpanelbeaters@skyafrica.co.za,N/A,N/A
JOBURG CITY AUTO,"011-334 0389, 011-220 4900",thandi.khoza@bmwdealer.co.za,N/A,N/A
KALALO DEVELOPERS CIVIL & SECURITY SERVICES,"015-291 2820, 015-291 1733",N/A,N/A,N/A
NKOMAZI SECURITY,013-790 1609,N/A,N/A,N/A
PROTOP WOMENS CLINIC,"011-394 0785, 011-394 2143",N/A,N/A,N/A
THE PLAY-PLAY HOUSE,011-792 0660,nerina@theplayplayhouse.co.za,N/A,N/A
NYAMA CATERING,"076 132 8123, 078 354 8938, 086-656 6260",N/A,N/A,N/A
NDIVHUWA SECURITY TRAINING.,015-970 4223,N/A,N/A,N/A
BOATING INTERNATIONAL,"011-452 8280, 011-452 0286",warren@boatinginternational.co.za,N/A,N/A
MULTIPLY PACKAGING (PTY) LTD,"011-866 1115, 011-866 3060",noleen.osner@multiplypackaging.co.za,N/A,N/A
EAST RAND AUTOMOTIVE,"011-823 5882, 011-823 5724",EASTRANDAUTO@TELKOMSA.NET,N/A,N/A
LINEA BRASS,"011-493 4775, 011-499 1201",N/A,N/A,N/A
DIVA DIVINE HAIR,"011-786 5086, 086-565 8896",marketing@divadivadivinehair.co.za,N/A,N/A
AFFIRMATIVE LIFT CC,"011-869 3149, 011-907 5125, 086-664 5125",N/A,N/A,N/A
A J M ENGINEERING SERVICES,"011-453 0728, 011-453 0757",N/A,N/A,N/A
COX & MCKAY ELECTRICAL (PTY) LTD,"011-609 0577, 011-609 0663",N/A,N/A,N/A
D & D LIFTING & CRANE SERVICES (PTY) LTD,"011-524 0871, 011-524 0832",N/A,N/A,N/A
PROBE (NELSPRUIT),"013-753 3029, 013-753 3027",N/A,N/A,N/A
BOARD KING (PRETORIA),"011-314 3103, 011-314 3185",nicoleen@boardking.co.za,N/A,N/A
SPECIALISTED BAKERY ENGINEERING CC,"086-681 6216, 011-433 4817",N/A,N/A,N/A
MAKAU PHEFADU INC,"011-942 1954, 011-942 5277",N/A,N/A,N/A
AG GLASS & ALUMINIUM (PTY) LTD,"011-472 9238, 011-472 9242",RONEL@AGGLASS.CO.ZA,N/A,N/A
MIDWAY GLASS,"011-805 3723, 011-805 1728",andre@midwayglass.co.za,N/A,N/A
MAYDAY GLASS,"011-908 4350, 011-908 2425",mdglass@telkomsa.net,N/A,N/A
NDLOV U C BUILDING PROJECTS,078 623 7325,jadulanndlovu@gmail.com,N/A,N/A
SIZWE BUILDING CONTRACTORS,073 351 6001,nakifapro@yahoo.com,N/A,N/A
LLALE & CO,011-791 0222,dorcasl@llale.com,N/A,N/A
RIVONIA CAR SOUND & CELLULAR,"011-807 6156, 011-807 1770",ananda@rivoniacarsound.co.za,N/A,N/A
RICOH,"011-723 5100, 011-723 5000",surete.strydom@ricoh.co.za,N/A,N/A
UNITY GLASS WORKS,"011-822 5343, 011-828 5919",unityglass.sa@mweb.co.za,N/A,N/A
KRUGERSDORP GOLF CLUB,"011-953 1274, 011-660 4365",N/A,N/A,N/A
LIDO ELECTRICAL,011-334 7500,lidojhb@icon.co.za,N/A,N/A
MOSEC ELECTRICAL,"078 386 1578, 086-515 6945",N/A,N/A,N/A
UTILITY MEASUREMENT AFRICA (PTY) LTD,"011-435 7269, 011-435 7263",linda@uma.co.za,N/A,N/A
ALBERNATE MOTORS,"011-861 8104, 011-861 8100",gmreceptionist@albertante.co.za,N/A,N/A
TURNER MORRIS - HEAD OFFICE,"086 651 7158, 011- 221 3700",INFO@TURNERMORRIS.CO.ZA,N/A,N/A
KURT GEIGER,011-616 2128,kurtgeiger@eastgate.co.za,N/A,N/A
MARLBORO CRANE HIRE (PTY) LTD,"011-882 8301, 011-882 8303",erika@marlborocrane.co.za,N/A,N/A
JACKS PAINT & HARDWARE,"011-640 6850, 011-640 5067",N/A,N/A,N/A
TENK LOUBESER & ASSOCIATES CHARTERTED ACCOUNTS SA,"011-476 1881, 011-476 1630",info@exceedjhb.co.za,N/A,N/A
MANDLAKAZI ELECTRICAL TECHNOLOGY,013-755 2257,belinda@met.co.za,N/A,N/A
SPIRAL ENGINEERING,011-479 9115,admin@spiralengineering.co.za,N/A,N/A
BDK ATTORNEYS,"011-836 8740, 011-838 1214",N/A,N/A,N/A
ST FRANCIS VETERINARYHOSPITAL,"011-453 8525, 011-453 8384",N/A,N/A,N/A
SERES MANUFACTURERS CC,"011-845 3938, 011-845 4808",N/A,N/A,N/A
TRI-DENT PANELBEATERS,"013-282 5673, 013-282 5335",tridenpd@lantic.net,N/A,N/A
FAMILY FUNERAL TRUST,"011-336 2402, 011-336 0833",N/A,N/A,N/A
OFFICE CREATIONS DECOR & DESIGN,"013-752 3888, 013-752 3553",N/A,N/A,N/A
DOPPIO ZERO (SUNNINGHILL),011-234 7841,etdk@vodamail.co.za,N/A,N/A
BETA & POWER ELEVATORS (PTY) LTD,"011-493 6820, 011-493 1549",N/A,N/A,N/A
GERT JORHAAN LABOUR CONSULTANTS,"013-282 7782, 013-282 7781",N/A,N/A,N/A
CCG CABLE TERMINATIONS,"011-394 2202, 011-394 2020",N/A,N/A,N/A
TENTCO,"011-397 6451, 011-397 6421",tentco@worldonline.co.za,N/A,N/A
TOKISO DISPUTE SETTLEMENT (PTY) LTD,"011-853 6335, 011-853 6300",N/A,N/A,N/A
KINTETSU WORLD EXPRESS SA,"086-648 9016, 011-573 5700",nomebeko.mabikane@kwe.co.za,N/A,N/A
CENTRAL TECHNICAL SERVICES (PTY) LTD,"011-616 9441, 011-616 2301",juandie@cys-sa.co.za,N/A,N/A
AUTO COMMODITIES,"011-664 7154, 011-955 4571",N/A,N/A,N/A
INITO EARTH SCIENCES,"011-795 4007, 086-670 9071",michelle@iescience.com,N/A,N/A
OMNI CONNECT CC,011-674 5401,brian@omniconnect.co.za,N/A,N/A
KAUAI JUICE EXPRESS,011-318 1448,ke.bobaworld@kauai.co.za,N/A,N/A
WALRO-FLEX,"011-907 1563, 011-907 7903",N/A,N/A,N/A
EXOL OIL REFINERY (PTY) LTD,"011-769 1779, 011-769 2257",N/A,N/A,N/A
ABERDARE CABLE (PTY) LTD,"013-246 2144, 013-246 2511",N/A,N/A,N/A
FINE ORGANIC CHEMICAL,"011-868 3766, 011-868 1136",june@fineorganics.co.za,N/A,N/A
CYBERSTREAM,"011-886 8041, 011-787 8485",N/A,N/A,N/A
OCEAN BASKET,011-958 0570,featherbrooke@ocean.co,N/A,N/A
METRIC AUTOMOTIVE ENGINEERING,"011-825 7317, 011-873 2350",matric@automotive.com,N/A,N/A
AFFIRMATIVE LIFE CC,"011-907 5125, 086-684 5125",id@affirmative-list.co.za,N/A,N/A
ENTERTAINMENT LOGISTICS,"011-455 4144, 011-579 1300",tersiad@eis-logistics.co.za,N/A,N/A
M I LIFTING,"011-888 9148, 083 679 1208, 011-888 3308",info@milifting.co.za,N/A,N/A
TEAZERS   MIDRAND,011 314 2529,MIDRAND@TEAZERS.CO.ZA,N/A,N/A
TEAZERS BOKSBURG,"011 492 4915, 011 892 4904",teazers@mweb.co.za,N/A,N/A
TEAZERS RIVONIA,"011 807 4101, 011 807 8722",RIVONIACLUB@TEAZERS.CO.ZA,N/A,N/A
GARDEN COURT (EASTGATE),"011-622 7994, 011-622 0570",N/A,N/A,N/A
GARDA AGENCIES CC,011-852 0643,homemark@telkomsa.net,N/A,N/A
HENRY TAYLOR GALLERY,"086-696 6316, 011-705 3194",N/A,N/A,N/A
LABOUR 24 EMPLOYMENT LAW (PTY) Ltd,"011 252 3200, 086 651 7681",info@labour24.co.za,N/A,N/A
LANDELAHNI RECRUITMENT GROUP,011-750 9536,info@landelahni.co.za,N/A,N/A
AMROP SA / LANDELAHNI BUSINESS LEADERS,011-750 9536,sburmeister@amropsa.co.za,N/A,N/A
IMMINENT PERSONNEL & IMMIGRATION SERVICES,011-869 5895,colleen@imminent.co.za,N/A,N/A
CONTROL INSTRUMENTS AUTOMOTIVE,"011-627 2500, 011-627 2600, 086-124 2886",rosemary.chirwa@ci-automotive.com,N/A,N/A
TRIDENT SA (PTY) LTD,"011-902 8988, 011-902 6735",chantel@tridentsa.co.za,N/A,N/A
ARWYP PHARMACY 24 HOURS ARWYP MEDICAL CENTRE,"011-922 1000, 011-922 1411",dorianne.oosthuizen@awe.com,N/A,N/A
PROPSHAFT CITY,"011-868 1869, 011-868 3611",propshaft@mweb.co.za,N/A,N/A
CTI EDUCATION GROUP,"011-467 8422, 011-467 6528",yllas@cti.co.za,N/A,N/A
BEYACHAD COMMUNITY CENTRE,"011-485 1010, 011-645 2500",N/A,N/A,N/A
PROPSHAFT CENTRE,011-825 3440,chantelle@propshaftcentre.co.za,N/A,N/A
ARUM PLACE GUEST HOUSE,"011-482 5247, 086-508 4224",N/A,N/A,N/A
BOTANICA SPA,"011-481 6049, 086-681 3881",francois.joubert@westcliff.co.za,N/A,N/A
MOKGETSI GAS,"011-906 4066, 086-719 9240",mokgetsigas@telkomsa.net,N/A,N/A
MIKE LESSICK MICA HARDWARE,"011-975 1903, 011-394 4896",N/A,N/A,N/A
PROPSHAFT WORLD CC,"011-805 6699, 011-805 4806",propshaftworld@global.co.za,N/A,N/A
ARBONIA CC,"011-462 3226, 011-462 3224",foodequip@arbonia.co.za,N/A,N/A
TIMBER PROFILES,013-253 0298,admin@timberpro.co.za,N/A,N/A
PRO ACOUSIC CONSULTING ENGINEERS,"011-787 9454, 011-886 6460",mail@proacoustic.co.za,N/A,N/A
BELFREIGHT,"011-794 5623, 011-794 2175",info@belfreight.co.za,N/A,N/A
MALUMO CONSULTING & PROJECTS (PTY) LTD.,"072 936 5645, 086-231 5558",N/A,N/A,N/A
ART ECT ERROL BOYLEY,"011-783 0842, 011-883 8282",artetc@iafrica.com,N/A,N/A
QUICK PRESS MANUFACTURING,"011-908 5621, 011-908 5527",N/A,N/A,N/A
VIPER ELECTRICAL DISTRIBUTORS,"011-680 3410, 011-680 3403",N/A,N/A,N/A
AULD LANG SYNE,011-967 2241,bijoux@global.co.za,N/A,N/A
THE WHITE HOUSE GALLERY,"011-268 2129, 011-268 2115",caitin@whg.co.za,N/A,N/A
ESSENTIAL HARDWARE GROUP.,"011-434 2362, 011-434 2363",vanessa@essentialgroup.co.za,N/A,N/A
SHAHED'S HARDWARE,"011-421 2914, 011-421 2915",shahedshardware@yahoo.com,N/A,N/A
RIETFONTEIN DIY & TOOL RENTAL,"011-957 5000, 086-614 5885",reitfonteindiy@gmail.com,N/A,N/A
FLOORS DIRECT (STRUBENSVALLEY),"011-475 7311, 011-475 8000",info@floorsdirect.co.za,N/A,N/A
DYNAMIC SALES & MARKETING,"086-523 4121, 011-827 7818",N/A,N/A,N/A
HELENS CAKES,"011-501 2992, 011-501 2930",HELEN.HEO@YAHOO.COM,N/A,N/A
DELVILLE FLEET MOTOR ENGINEERING,"011-825 6262, 011-873 2584",delville@vodamail.co.za,N/A,N/A
CONSORTIUM CABLES CC,"011-887 3369, 011-887 3389",N/A,N/A,N/A
C E MOBILITY,011-210 6300,reception@cembility.co.za,N/A,N/A
POLO,011-258 7742,resciption@polo.co.za,N/A,N/A
BEATO AUTO BODY CC,"011-744 4072, 011-744 4338",cludia@beatauto.co.za,N/A,N/A
CLEAR WATER MALL,"011-288 5260, 011-675 3232",N/A,N/A,N/A
VUYO PETROLEUM,"011-496 1990, 011-496 2046",N/A,N/A,N/A
F.B BUILDING,"086-616 5525, 011-493 1117",N/A,N/A,N/A
CEVA LOGISTIC SA,"011-396 9400, 011-396 9479",cherryl.tullett@cevalogistic.com,N/A,N/A
AUTO STAR PANEL BEATERS,079 359 4303,castigopanel@gmail.com,N/A,N/A
AC ELECTRICAL & PLUMBING,"011-664 7040, 086-725 9600",N/A,N/A,N/A
SEDINGWANE SECURITY,"011-828 6200, 011-822 6127",N/A,N/A,N/A
YAMATO JAPANESE RESTAURANT,"011-268 0513, 011-268 0511",info@yamato.co.za,N/A,N/A
UNIQUE ENGINEERING,"011-826 6162, 011-826 6111",N/A,N/A,N/A
THE SHEIKH'S PALACE,"011-807 4322, 011-807 4119",N/A,N/A,N/A
TRADE ROOTS,"011-728 0672, 011-728 0673",traderoot@worldline.co.za,N/A,N/A
LEBOWANET PROPERTIES MAINTENANCE SERVICES,078 217 3838,lesli@lebowanet.co.za,N/A,N/A
FORCE ELECTRONICS,"086-626 8746, 011-334 9391",force@globel.co.za,N/A,N/A
MIDAS PART CENTRE,"013-679 7000, 013-697 7007",N/A,N/A,N/A
WIT DEEP SAND & STONE,"011-828 5788, 011-828 5722",N/A,N/A,N/A
ROTAR WASHING LINES,"011-828 8305, 086-546 6392",rotar@mweb.co.za,N/A,N/A
T & H FREIGHT.,011-744 0626,thefreight@telkomsa.net,N/A,N/A
SAFETY & INDUSTRIAL SPECIALISTS,"011-869 1253, 011-907 8929",N/A,N/A,N/A
SIKHULILE GUEST HOUSE,"086-238 5372, 013-741 2883",N/A,N/A,N/A
SOUTHERN SUN (O R TAMBO INTERNATIONAL),"011-975 5846, 011-977 3600",madeleanin.nieand@tsogosun.co.za,N/A,N/A
MONUMENT PANEL BEATERS CC,"011-953 1216, 011-665 2119",moncb@mwap.co.za,N/A,N/A
MVD TRANSPORT CC,"082 811 1662, 011-357 5189",drivers@teljoy.co.za,N/A,N/A
MUSAVENI ELECTRICAL,"083 723 8894, 086-509 8032",N/A,N/A,N/A
MDLIKIZA LIFTS,"074 849 5186, 086-609 3842",mdlikiza@live.com,N/A,N/A
NEST LIFE ASSURANCE,011-783 9262,agnes@nestlife.co.za,N/A,N/A
MPATHO NYONI EVENT MANAGEMENT & FUNCTION HIRE,"013-755 2427, 013-755 3441",N/A,N/A,N/A
IGUGU LESIZWE COMMUNITY CENTRE,011-933 3108,admin@igugulesizwe.co.za,N/A,N/A
DESTINATED COURIER SERVICES,011-552 8288,david@dcstheone.co.za,N/A,N/A
S.D.D FREIGHT.,"011-390 1854, 011-390 1883",donald@sddcargo.com,N/A,N/A
FROMM PACKAGING SYSTEMS,"011-452 4882, 011-452 6154",pat@fromm.pack.co.za,N/A,N/A
GUNNEBO INDUSTRIES (PTY) LTD,"011-614 6078, 011-624 1300",N/A,N/A,N/A
GOODMAN GALLERY,"021-462 7579, 011-462 7573",carla@goodman-gallery.co.za,N/A,N/A
GERI (SANDTON),"011-783 2814, 086-620 3985",N/A,N/A,N/A
RIETFONTEIN DIY & TOOL RENTAL.,"011-957 5000, 086-614 5885",rietfonteindiy@gmail.com,N/A,N/A
TOYOTA SA MOTORS (PTY) LTD,"011-809 9111, 011-809 9412",cpeterson@tsb.co.za,N/A,N/A
EUREKA DIY SOLUTIONS,"0114-471 0847, 011-471 0800",cherylm@eurekadiy.co.za,N/A,N/A
EASTERN VETERINARY HOSPITAL.,"011-394 9717, 011-970 1684",N/A,N/A,N/A
ROOF SURGEON,"086-730 0089, 011-868 3247",N/A,N/A,N/A
MANDLA TECHNOLOGIES (PTY) LTD,011-807 7600,lammem@mandlatech.co.za,N/A,N/A
LONRHO LOGISTICS (PTY) LTD.,"011-571 0800, 011-975 1542",bernards@pca.co.za,N/A,N/A
ATLAS PLUMBING.,"011-660 4072, 011-665 3706",cechen@telkomsa.net,N/A,N/A
STEVE TSWETE HOUSING ASSOCIATION,"013-282 9599, 013-282 9595",ntuli@stha.co.za,N/A,N/A
E T E DRIVING SCHOOL,"086-538 4471, 011 039 8349, 073 416 0959",thulanibaloyi@webmail.co.za,N/A,N/A
DRIEHOEK DRIVING SCHOOL,016-362 1402,clown@vodamail.co.za,N/A,N/A
SHAHED\'S HARDWARE.,"011-421 2914, 011-421 2915",shahedshardware@yahoo.com,N/A,N/A
TYMES LABOUR SOLUTIONS,"011-907 0440, 011-907 0390",N/A,N/A,N/A
MICROKIDS NURSERY SCHOOL,011-477 8625,N/A,N/A,N/A
THUSO SIZA MANGEMENT SERVICES,"011-869 7353, 011-869 7298",BRITTA@BHTECH.CO.ZA,N/A,N/A
VISO BELLO SKIN CARE CENTRE,011-883 8046,info@visobello.co.za,N/A,N/A
RENE TURCK & ASSOCIATES,"011-397 4423, 011-571 7400",walter.c@reneturck.co.za,N/A,N/A
NOVOTRANS INTERNATIONAL FROWARDERS (PTY) LTD,011-392 5940,rene@novotrans.co.za,N/A,N/A
BRYANSTON AUCTIONEERS,"011-463 4666, 011-463 6496",info@bryanstonauctioneers.co.za,N/A,N/A
FILVENT (PTY) LTD,013-656 2726,reception@filvent.co.za,N/A,N/A
BEM MEDICAL.,"011-312 9292, 011-312 9265",info@bemmedical.co.za,N/A,N/A
KEA KAMPERS.,"086-754 0470, 011-230 5000",zubeida@thrilsty.co.za,N/A,N/A
BIG S RECURITMENT CC,011-234 0755,theteam@bigsrecuritment.com,N/A,N/A
PHAKISA HOLDINGS CONSULTANTS,"011-916 2905, 011-916 1731",N/A,N/A,N/A
ROBERT WALTERS,011-881 2400,kathryan.paperson@robertwalters.co.za,N/A,N/A
MICHAEL PRICHARD,"011-783 1011, 011-883 4387",N/A,N/A,N/A
CAPITAL CONTROL CENTRE (PTY) LTD,"011-827 0335, 011-827 3898",N/A,N/A,N/A
SPRINGS PROPSHAFT & HYDRAULICS,"011-811 1240, 011-811 3207",sph2011@telkomsa.net,N/A,N/A
MEINTJES FENCING (PTY) LTD.,"011-769 1440, 011-769 1449",N/A,N/A,N/A
EMPERORS PALACE,"011-928 1077, 011-928 1000",jhavenga@emperorspalace.com,N/A,N/A
ACTIVE GLASS SERVICE,011-477 6490,sales@activeglass.co.za,N/A,N/A
ORBITAL DISTRIBUTORS (PTY) LTD,"011-908 3861, 011-864 3508",admin@orbitaldist.co.za,N/A,N/A
ETA HUMAN CAPITAL RECRUITMENT,011-463 0313,candicej@hcapital.co.za,N/A,N/A
AIM PERSONNEL SERVICES,"011-674 5215, 011-674 4601",maria@aimjobs.co.za,N/A,N/A
DOKUGESI ELECTRICAL CC,"013-243 8191, 013-243 8192",N/A,N/A,N/A
MINDCOR (PTY) LTD,011-551 5500,vishra@mindcor.com,N/A,N/A
AFRICAN SALT WORKS (PTY) LTD,011-608 2894,lindi@afrisalt.co.za,N/A,N/A
SCHNEIDER ELECTRIC,"011-254 6400, 011-254 6712",N/A,N/A,N/A
GRAHAMS FIRE ART GALLERY,"011-465 7631, 011-465 9192",info@grahamsgallery.co.za,N/A,N/A
IIVA GENERAL ENGINEERING,"011-609 3000, 011-609 6618",ilva3@ibi.co.za,N/A,N/A
FLOOR DIRECT (STRUBENSVALLEY),"011-475 7311, 011-475 8000",info@floorsdirect.co.za,N/A,N/A
WIT DEEP SAND & STONE.,"011-828 5788, 011-828 5722",N/A,N/A,N/A
ELITE CHEMICAL INDUSTRIES (PTY) LTD,011-864 4620,elitechem@wol.co.za,N/A,N/A
SOUTH AFRICAN FAULT LOCATION,"011-907 4475, 011-869 7987",N/A,N/A,N/A
DAY 'N NITE GLASS SERVICES CC,"011-887 0330, 011-440 5124",daynnite@mweb.co.za,N/A,N/A
SA BULLET RESISTANT GLASS CO,011-493 8249,sabrg@global.co.za,N/A,N/A
VIVIAN REGINA MARKETING (PTY) LTD,011-813 4147,theah@vivianregina.com,N/A,N/A
PRIMA GLASS,"013-690 1425, 086-589 3853",prima.glass@lantic.net,N/A,N/A
G J & T HOME IMPROVERS CC,011-953 2422,admin@gjthomeimprovers.co.za,N/A,N/A
MORIT MANUFACTURING ENTERPRICE CC,"011-024 4591, 086-672 0033",N/A,N/A,N/A
ELEUSIS PROJECT,"011-275 0275, 011-275 0309",robertovandolne@yahoo.com,N/A,N/A
EXECUTIVE HR,011-425 1339,elmarie@executivehr.co.za,N/A,N/A
HOSPITALITY PLACEMENTS,011-803 6040,hospitality.p@mweb.co.za,N/A,N/A
TRANSAUTO RECRUITMENT,011-792 2372,ashleigh@transauto.co.za,N/A,N/A
OASIS TANNING CO (PTY) LTD,"011-416 2270, 011-416 2265",N/A,N/A,N/A
VISION TISSUE CC,"011-827 7676, 086-502 8582",N/A,N/A,N/A
TUSSCHE TRIANING CONSULTANTS,"086-657 3764, 016-932 4233",safetytraining@telkomsa.net,N/A,N/A
LESHEDA MINING & ELECTRICAL SUPPLIES CC,"011-021 0852, 011-974 3206",kur@mweb.co.za,N/A,N/A
ABAKALI QUANTITY SURVEYOR'S,012-362 1768,pta@abakali.co.za,N/A,N/A
AMANZI OKUPHILA CONSTRUCTION & ENTERPRISES.,"011-931 5376, 073 168 8809",mahlanguabel@gmail.com,N/A,N/A
OCEAN BASKET.,"011-655 1300, 011-312 0603",frede@oceanbasket.co.za,N/A,N/A
NAIL STUDIO,"011-432 5079, 011-432 4958",N/A,N/A,N/A
RV BUSINESS ENTERPRISE,072 930 2364,raayan@rventerprise.co.za,N/A,N/A
SOUTHERN  AFRICA QUANTUM CONSULTANTS & ACTUARIES,011-784 5084,moloenyal@southernafricaquantum.co.za,N/A,N/A
UKWAZI ENGINEERING,"013-246 2031, 013-246 2941",ukwazi@webmail.co.za,N/A,N/A
CHILDINE KATORUS KATLEHONG,011-905 0920,N/A,N/A,N/A
EARLY BIRD SERVICES,"011-312 1259, 011-357 3000",mainterance@earlybird.co.za,N/A,N/A
CHARTERED APPOINTMENTS,011-234 6666,estelle@pnet.co.za,N/A,N/A
FISH WORLD EMERGENCIES CELL,072 070 6618,fishworld@vodamail.co.za,N/A,N/A
ECON OIL & ENERGY (PTY) LTD,011-867 7522,lindiwe@econoil.co.za,N/A,N/A
AQUARIUM CENTRE,"011-683 9081, 011-683 7619",N/A,N/A,N/A
DAY 1 HEALTH (PTY) LTD,"086-111 3513, 011-463 0600",richard@dav1.co.za,N/A,N/A
O-LINE SUPPORT SYSTEMS,"011-378 3714, 011-378 3700",natalie@o-line.com,N/A,N/A
HEALTH & WEALTH,"011-465 0508, 011-463 4672",shaun@bullseye.co.za,N/A,N/A
SECURED STORAGE,"086-502 0805, 013-758 1772",N/A,N/A,N/A
LANGA DRIVING ACADEMY LOGISTIC,"011-869 6645, 086-657 6244",langadrivingacademy@ymail.com,N/A,N/A
HELLERMANN TYTON,"011-879 6620, 011-879 6601",monique.esterhuizen@hellermann.co.za,N/A,N/A
MARKETPLACE PEOPLE CC,011-802 0905,CHER@ICON.CO.ZA,N/A,N/A
BE DIFFERENT RECRUITMENT CC,011-781 7901,danaernene@bedifferent.co.za,N/A,N/A
TEST-A-RELAY.,"012-665 0545, 012-665 0549",parcc@test-a-relay.co.za,N/A,N/A
SABLE GLASS & ALUMINIUM,"013-752 2255, 013-752 2256",info@sableglassalu.co.za,N/A,N/A
AUTENMAS PLACEMENTS,011-615 1156,accounts@autenmas.co.za,N/A,N/A
VAN DER HOVEN,"011-706 2920, 086-615 4282",evdrecruit@global.co.za,N/A,N/A
MAGAMAL & SUN,"011-673 3177, 072 860 4293",N/A,N/A,N/A
FINE LINE CC,"011-477 8115, 011-477 5408",N/A,N/A,N/A
KAMOHELO CHILDREN CENTRE,"016-973 3323, 016-976 2153",N/A,N/A,N/A
IRONWOOD,"086-670 8285, 082 770 9768",olao@mweb.co.za,N/A,N/A
FREEMAN OPTOMETRISTS,"086-699 2020, 013-755 3355",gsozozo@gmail.com,N/A,N/A
EYELAND OPTOMETRISTS,"011-826 6403, 011-823 1565",anton@eveland.co.za,N/A,N/A
BRIEL OPTOMETRISTS,"011-781 9026, 011-789 4274",brieleyes@gmail.com,N/A,N/A
ZETA SCHOSBERG OPTOMETRISTS,"011-609 6522, 011-452 5704",zeta@yebo.co.za,N/A,N/A
NETTMAN OPTOMETRISTS,"011-435 1194, 011-435 9803",nettman@iafrica.com,N/A,N/A
MILTONS OPTOMETRISTS,"011-442 6956, 011-788 1308",optomeyes@icon.co.za,N/A,N/A
SPEC SAVERS,"011-673 8822, 011-673 8820",pheberg@specstores.co.za,N/A,N/A
SPECTACULAR VISION,"011-315 3778, 011-805 1042",SPECTACULAR@ICON.CO.ZA,N/A,N/A
SPECIALISED BAKERY ENGINEERING CC,"086-681 6216, 011-433 4817",N/A,N/A,N/A
VITAL ENGINEERING,011 989 8500,SALES@GRATINGS.CO.ZA,https://www.gratings.co.za/,N/A
HARRINGTON STEEL (PTY) LTD,016-428 5443,harringtonsteel@telkomsa.net,N/A,N/A
PRECISION MOWERS,"011-394 3394, 011-394 3393",precisionmowers@absamail.co.za,N/A,N/A
TUSKER PACKAGING,"011-452 6420, 011-452 6283",trevor@tps.co.za,N/A,N/A
MULTI ALLOYS CC,"011-466 1692, 011-466 2480",KEMP@MULTALLOYS.CO.ZA,N/A,N/A
AUTO STAR PANEL BEATERS.,079 359 4303,castigopanel@gmail.com,N/A,N/A
PHILLIP SHOPFITTING & GAMES,072 189 1837,mateya08@gmail.com,N/A,N/A
KONICA MINOLTA VAAL,"016-982 1026, 016-982 1029",minolta@netactive.co.za,N/A,N/A
KEA RENTALS,"086-625 8068, 011-230 5000",N/A,N/A,N/A
RAND FUNERALS,011-421 7181,veena@randfunerals.co.za,N/A,N/A
COOPER & COOPER (PTY) LTD,"013-650 1591, 013-650 1598",jacque@coopergroup.co.za,N/A,N/A
LOFTUS CARAVAN CITY,"011-793 2312, 011-792 1456",woody@loftuscc.co.za,N/A,N/A
PATRICK PIETERSEN FUNERAL SERVICES CC,011-910 2010,patrickpietersenfuneral@ibiz.co.za,N/A,N/A
MR PROSHAFT CC,"011-493 6350, 011-493 0551",N/A,N/A,N/A
RANI RESORTS (PTY) LTD,"011-658 0633, 011-658 0632",N/A,N/A,N/A
FIX & FIT SECURITY,"011-708 4826, 011-708 2766",N/A,N/A,N/A
BOBROFF RONALD & PARTNERS INC.,"011-880 6784, 011-880 6781",accounts@bobhoff.co.za,N/A,N/A
ACADEMY DRIVING SCHOOL.,"011-834 4231, 011-834 4234",dale.patty45@gmail.com,N/A,N/A
VAAL SCRAP METALS,"016-986 1415, 016-986 0984",vsm@cyberserv.co.za,N/A,N/A
ARGUS FREIGHT.,"011-396 1896, 011-396 2011",shannon@argusfreight.com,N/A,N/A
SPECIALISED BAKERY ENGINEERING CC.,"086-681 6216, 011-433 4817",N/A,N/A,N/A
TALENTED SELECTION,011-454 3369,tessa@talentedselection.co.za,N/A,N/A
JOBS@OSSY,011-845 4952,jobs@assy.co.za,N/A,N/A
SLATER HEALTH FITNESS CLUB,016-423 1229,threeriver@slatergyms.co.za,N/A,N/A
FULRACE ENGINEERING,"011-433 4507, 011-433 4506",fulrace@absamail.co.za,N/A,N/A
DAILY TRANSCIPTIONS CC,011-954 2859,dailyauti@telkomsa.net,N/A,N/A
PETS CHOICE DISCOUNT FOOD & PET SHOP,082 757 0672,kingsdate.konnol@gmail.com,N/A,N/A
SIPHO GLASS & ALUMINIUM,082 731 2018,G@MOBILEEMAIL.VODASA.CO.ZA,N/A,N/A
COST TIME RESOURCES CC,011-888 7163,cte@cmasa.co.za,N/A,N/A
FARADAY DRANKWINKEL,016-931 3477,N/A,N/A,N/A
ARROW TRADING CORP CC,"011-792 1040, 011-793 1251",N/A,N/A,N/A
STEYN LYELL  MEAYANE,"016-422 4928, 016-421 4471",batie@slmlaw.co.za,N/A,N/A
