Business Name,Description,Possible Address,Phone Numbers,Emails,Websites
3 Q  CONCRETE HOLDINGS (PTY) LTD,"ADDRESS:
22 WATERVAL AVENUE
RUSTENBURG
GAUTENG
TEL:
014-592 2202
FAX:
014-592 3722
EMAIL:
sandra@qconcrete.co.za
TRADE HEADING
READY MIX CONCRETE","22 WATERVAL AVENUE
RUSTENBURG
GAUTENG
TEL; 592 2202
FAX; 592 3722
EMAIL","014-592 2202, 014-592 3722",sandra@qconcrete.co.za,
CUBIC ICE,"PHYSICAL ADDRESS

Building 10/Royal Troon Building
Fourways Golf Park
Roos Street
Fourways
Sandton
POSTAL ADDRESS

Private Bag X140
Bryanston
2021
South Africa
Tel: 
+27 11 705 2545
CELL:
082 40","140
Bryanston
2021
South Africa
Tel; 27 11 705 2545
CELL; 082 40","+27 11 705 2545, 082 40",,
VAAL TRANSFORMERS,"ADDRESS:
27 SPENCE STREET
DUNCANVILLE
VEREENIGING
TEL:
016-423 3233
FAX:
086-582 0642
EMAIL:
vaaltransformers@eject.co.za
TRADE HEADING
GENERATORS & ACCESSORIES","27 SPENCE STREET
DUNCANVILLE
VEREENIGING
TEL; 423 3233
FAX; 582 0642
EMAIL","016-423 3233, 086-582 0642",vaaltransformers@eject.co.za,
LUBRICATION EQUIPMENT (PTY0 LTD,"ADDRESS:
6 LIEBENBURG STREET
ALRODE SOUTH
ALBERTON
TEL:
011-864 5785
FAX:
011-864 8231
EMAIL:
pierre@lubricationequipment.co.za
TRADE HEADING
LUBRICANTING EQUIPMENT","6 LIEBENBURG STREET
ALRODE SOUTH
ALBERTON
TEL; 864 5785
FAX; 864 8231
EMAIL","011-864 5785, 011-864 8231",pierre@lubricationequipment.co.za,
LAKAMA ACCOMMODATION,"ADDRESS:
KOMATIE POWER STATION
GA-NALA
VANDYSDRIF
TEL:
013-295 3663
FAX:
013-295 3528
TRADE HEADING
ACCOMMODATION","295 3663
FAX; 295 3528
TRADE HEADING
ACCOMMODATION","013-295 3663, 013-295 3528",,
HEAD-QUARTERS,"ADDRESS:
9 CARRIAGE CLOSE
CROWN MINES
JOHANNESBURG
TEL:
011-839 0009
FAX:
011-839 0015
EMAIL:
admin@headquarters.co.za
TRADE HEADING
BEAUTY SUPPLIES","9 CARRIAGE CLOSE
CROWN MINES
JOHANNESBURG
TEL; 839 0009
FAX; 839 0015
EMAIL","011-839 0009, 011-839 0015",admin@headquarters.co.za,
FLEXILUBE (PTY) LTD,"ADDRESS:
48 ALBERT WESSELS LANE
SYBRAND VAN NIEKERK PARK
MEYERTON
TEL:
016-362 0343
EMAIL:
irene@flexilube.com
TRADE HEADING
LUBRICANTS","48 ALBERT WESSELS LANE
SYBRAND VAN NIEKERK PARK
MEYERTON
TEL; 362 0343
EMAIL",016-362 0343,irene@flexilube.com,
HEADLINES PUBLIC RELATIONS,"ADDRESS:
36 KNOX STREET
WAVERLEY
JOHANNESBURG
TEL:
011-887 3422
EMAIL:
norma@headlines.co.za
TRADE HEADING
PUBLIC RELATIONS CONSLTANTS","36 KNOX STREET
WAVERLEY
JOHANNESBURG
TEL; 887 3422
EMAIL",011-887 3422,norma@headlines.co.za,
CORPORATE COMMUNICATION CONSULTANTS,"ADDRESS:
BALLYWOOD OFFICE PARK
FAIRWOOD HOUSE
BALLYCLARE DRIVE
BRYANSTON
SANDTON
TEL:
011-463 2198
FAX:
011-463 2170
EMAIL:
chantal@corpcom.co.za
TRADE HEADING
PUBLIC RELATIONS CONSULTANTS","463 2198
FAX; 463 2170
EMAIL","011-463 2198, 011-463 2170",chantal@corpcom.co.za,
GAINT LEAP WORKSPACE SPECIALIST,"ADDRESS:
20 CHAPLIN ROAD
ILOVO
SANDTON
TEL:
011-880 1490
FAX:
011-880 1493
EMAIL:
creditors@leap.co.za
TRADE HEADING
DESIGN CONSULTANTS SERVICES","20 CHAPLIN ROAD
ILOVO
SANDTON
TEL; 880 1490
FAX; 880 1493
EMAIL","011-880 1490, 011-880 1493",creditors@leap.co.za,
METALS CENTRE,"ADDRESS:
UNIT C1 JOHN STREET
SELBY
JOHANNESBURG
TEL:
011-493 4930
FAX:
011-493 4941
EMAIL:
metalscc@mweb.co.za
TRADE HEADING
ALUMINIUM PRODUCTS","1 JOHN STREET
SELBY
JOHANNESBURG
TEL; 493 4930
FAX; 493 4941
EMAIL","011-493 4930, 011-493 4941",metalscc@mweb.co.za,
HLANGANANI EZWENI TRADING & PROJECTS,"ADDRESS:
GOLDMAN ROAD
OFFICE 2A
TEL:
011-472 4213
FAX:
011-472 4701
EMAIL:
priscella@hlanganani.com
WEBSITE:
www.hlangananieweni.com
TRADE HEADING
ENGINEERS","472 4213
FAX; 472 4701
EMAIL","011-472 4213, 011-472 4701",priscella@hlanganani.com,
BRANO SALES & DISTRIBUTION (WEST RAND),"ADDRESS:
ONDEKKERS ROAD
ROODEPOORT
TEL:
011-760 5773
FAX:
011-760 5774
EMAIL:
sales2@wrand.brano.co.za
TRADE HEADING
INTERCOM SYSTEMS","760 5773
FAX; 760 5774
EMAIL","011-760 5773, 011-760 5774",sales2@wrand.brano.co.za,
CAPACITY OUTSOURCING (RUSTENBURG),"ADDRESS:
195 Kock St
Rustenburg
TEL:

014 5940993
TRADE HEADING
PERSONNEL CONSULTANTS","195 Kock St
Rustenburg
TEL; 014 5940993
TRADE HEADING
PERSONNEL CONSULTANTS",014 5940993,,
CAPACITY OUTSOURCING (PTY) LTD (JOHANNESBURG),"ADDRESS:
9 THE STAR
47 SAUER ST
JOHANNESBURG 
TEL:
011 8321735
TRADE HEADING
PERSONNEL CONSULTANTS","9 THE STAR
47 SAUER ST
JOHANNESBURG 
TEL; 011 8321735
TRADE HEADING
PERSONNEL CONSULTANTS",011 8321735,,
CAPACITY OUTSOURCING (PTY) LTD DIV OF ADORP (TRICHARDT),"ADDRESS:
1 RUTH FIRST ST
 TRICHARDT
TEL:

017 6380270
TRADE HEADING
PERSONNEL CONSULTANTS","1 RUTH FIRST ST
 TRICHARDT
TEL; 017 6380270
TRADE HEADING
PERSONNEL CONSULTANTS",017 6380270,,
CAPACITY OUTSOURCING (HEAD OFFICE),"ADDRESS:

Labour Hire Contracts ShareCall
 BOLAND & WEST COAST
TEL:

0860 227224
EMAIL:
esterf@capacity.co.za
WEBSITE:
www.capacity.co.za
TRADE HEADING
PERSONNEL CONSULTANTS","0860 227224
EMAIL",0860 227224,esterf@capacity.co.za,
AFRIGRIT,"ADDRESS:
34 VAN ECK STREET
FERROBANK
EMALAHLENI

TEL:
013-699 0314
FAX:
013-699 9425
EMAIL:
sales@afrigrit.co.za
TRADE HEADING
READY MIX CONCRETE","34 VAN ECK STREET
FERROBANK
EMALAHLENI

TEL; 699 0314
FAX; 699 9425
EMAIL","013-699 0314, 013-699 9425",sales@afrigrit.co.za,
G G I COMMUNICATION,"ADDRESS:
51 WEST STREET
HOUGHTON
JOHANNESBURG
TEL:
011-728 1363
FAX:
011-728 6613
TRADE HEADING
PUBLIC RELATIONS CONSULTANTS","51 WEST STREET
HOUGHTON
JOHANNESBURG
TEL; 728 1363
FAX; 728 6613
TRADE HEADING
PUBLIC RELATIONS CONSULTANTS","011-728 1363, 011-728 6613",,
ROCKWELL AUTOMATION,"ADDRESS:
RIVERVIEW PARK JANADEL AVENUE
HALFWAY GARDEN
MIDRAND
TEL:
011-654 9700
FAX:
011-654 9701
TRADE HEADING
AUTOMATION","654 9700
FAX; 654 9701
TRADE HEADING
AUTOMATION","011-654 9700, 011-654 9701",,
LUBRICATION MANGMENT,"ADDRESS:
373 PRICE GEORGE AVENUE
BRAKPAN
TEL:
011-740 0066
FAX:
086-685 7765
TRADE HEADING
LUBRICANTING EQUIPMENT","373 PRICE GEORGE AVENUE
BRAKPAN
TEL; 740 0066
FAX; 685 7765
TRADE HEADING
LUBRICANTING EQUIPMENT","011-740 0066, 086-685 7765",,
TRANS NATAL CUT GLASS MANUFACTURERS,"ADDRESS:
185 VOORTREKKER ROAD
FACTORIA
KRUGERSDORP
TEL:
011-955 4471
EMAIL:
carol@transnatal.co.za
TRADE HEADING
GLASS","185 VOORTREKKER ROAD
FACTORIA
KRUGERSDORP
TEL; 955 4471
EMAIL",011-955 4471,carol@transnatal.co.za,
COLORSCREEN SUPPLIERS GAUTENG (PTY) LTD,"ADDRESS:
126 FORSMAN CLOSE
UNIT 16 KYALAMI HEIGHTS
BARBEQUE DOWNS
KAYALAMI
TEL:
011-262 2715
FAX:
011-262 2467
EMAIL:
nathan@colorscreen.co.za
TRADE HEADING
SCREEN PRINTING SUPPLIERS","126 FORSMAN CLOSE
UNIT 16 KYALAMI HEIGHTS
BARBEQUE DOWNS
KAYALAMI
TEL; 262 2715
FAX; 262 2467
EMAIL","011-262 2715, 011-262 2467",nathan@colorscreen.co.za,
J D FUNERAL PARLOUR,"ADDRESS:
241 MMKAU STREET
MALAPO
SOWETO
TEL:
011-986 1003
FAX:
011-984 4218
TRADE HEADING
FUNERAL DIRECTORS","241 MMKAU STREET
MALAPO
SOWETO
TEL; 986 1003
FAX; 984 4218
TRADE HEADING
FUNERAL DIRECTORS","011-986 1003, 011-984 4218",,
MED INFOMATION SYSTEM (PTY) LTD,"ADDRESS:
7 ENGEL AVENUE
GLENVISTA
JOHANNESBURG
TEL:
011-682 8030
EMAIL:
maureen@medif.co.za
TRADE HEADING
INFOMATION SERVICES","7 ENGEL AVENUE
GLENVISTA
JOHANNESBURG
TEL; 682 8030
EMAIL",011-682 8030,maureen@medif.co.za,
QUALITY LIFE,"ADDRESS:
46 8 AVENUE
PARK NORTH
JOHANNESBURG
TEL:
011-880 9749
FAX:
011-880 2785
TRADE HEADING
INFORMATION SERVICES","46 8 AVENUE
PARK NORTH
JOHANNESBURG
TEL; 880 9749
FAX; 880 2785
TRADE HEADING
INFORMATION SERVICES","011-880 9749, 011-880 2785",,
LIMORIDE.,"ADDRESS:
1 BOEING ROAD
BEDVIEW
JOHANNESBURG
GAUTENG
CELL:
072 373 7133
082 966 8113
EMAIL:
limorite@gmail.com
TRADE HEADING
LIMOUSINE-HIRE","1 BOEING ROAD
BEDVIEW
JOHANNESBURG
GAUTENG
CELL; 072 373 7133
082 966 8113
EMAIL","072 373 7133
082 966 8113",limorite@gmail.com,
OMSA VALVE & INSTRUMENTATION,"ADDRESS:
OMSA HOUSE
RABIE STREET
FONTAINEBLEAU
RANDBURG
TEL:
011-793 7421
EMAIL:
marco@omsa.co.za
TRADE HEADING
LUBRICANTING EQUIPMENT","793 7421
EMAIL",011-793 7421,marco@omsa.co.za,
D & A POWER PRODUCTS (PTY) LTD,"ADDRESS:
SERENADE ROAD
ELANDSFONTEIN
GERMISTON
TEL:
011-828 0370
FAX:
011-828 0736
EMAIL:
idap@d-a.co.za
TRADE HEADING
DIESEL ENGINEERS","828 0370
FAX; 828 0736
EMAIL","011-828 0370, 011-828 0736",idap@d-a.co.za,
SEBENZA FOWARDING SHIPPING (PTY) LTD,"ADDRESS:
16 SPANNER ROAD
SPARTAN
KEMPTON PARK
TEL:
011-571 0600
FAX:
011-970 3638
EMAIL:
tmaloka@sebenza.co.za
TRADE HEADING
FREIGHT FORWARDING","16 SPANNER ROAD
SPARTAN
KEMPTON PARK
TEL; 571 0600
FAX; 970 3638
EMAIL","011-571 0600, 011-970 3638",tmaloka@sebenza.co.za,
H & S TIMBER (PTY) LTD,"ADDRESS:
14 WILSTEAD STREET
BENONI
TEL:
011-422 3223
FAX:
011-421 3810
EMAIL:
carol@hstimbers.co.za
TRADE HEADING
JOINERY MANUFACTURERS","14 WILSTEAD STREET
BENONI
TEL; 422 3223
FAX; 421 3810
EMAIL","011-422 3223, 011-421 3810",carol@hstimbers.co.za,
RELIABLE TRANSFORMERS,"ADDRESS:
17 LINCOLN ROAD
ATLAS INDS PARK
BENONI SOUTH
JOHANNESBURG
TEL:
011-421 2333
FAX:
011-421 3446
EMAIL:
info@reotrans.co.za
TRADE HEADING
generatiors & accessories","17 LINCOLN ROAD
ATLAS INDS PARK
BENONI SOUTH
JOHANNESBURG
TEL; 421 2333
FAX; 421 3446
EMAIL","011-421 2333, 011-421 3446",info@reotrans.co.za,
ISOVER,"ADDRESS:
IRON ROAD
NEW ERA
SPRINGS
JOHANNESBURG
TEL:
012-657 2800
EMAIL:
kreesan.peters@saintgobain.com
TRADE HEADING
INSULATION INSTALLATIONS","657 2800
EMAIL",012-657 2800,kreesan.peters@saintgobain.com,
GERHAD MULDER GEOTECHNICAL CONSULTANTS,"ADDRESS:
5 LAVER STREET
MIDDLEBURG
TEL:
013-282 4672
FAX:
013-243 2570
EMAIL:
geotech@mweb.co.za
TRADE HEADING
ARCHAEOLOGICAL SURVEYS","5 LAVER STREET
MIDDLEBURG
TEL; 282 4672
FAX; 243 2570
EMAIL","013-282 4672, 013-243 2570",geotech@mweb.co.za,
SLATER HEALTH FITNESS CLUB.,"ADDRESS:
CNR UMTATA & BASHY STREET
THREE RIVERS
VEREENING
TEL:
016-423 1229
FAX:
016-423 1229
EMAIL:
threeriver@salatergyms.co.za
TRADE HEADING
HEALTH CLUB EQUIPMENT","423 1229
FAX; 423 1229
EMAIL","016-423 1229, 016-423 1229",threeriver@salatergyms.co.za,
ASSOCIATED SYSTEMS,"ADDRESS:
385 ELMOT ROAD
INDUSTRIA NORTH
FLORIDA
JOHANNESBURG
TEL:
011-477 2572
FAX:
011-673 8325
TRADE HEADING
AUTOMATION","385 ELMOT ROAD
INDUSTRIA NORTH
FLORIDA
JOHANNESBURG
TEL; 477 2572
FAX; 673 8325
TRADE HEADING
AUTOMATION","011-477 2572, 011-673 8325",,
HIGH PRESSURE SYSTEM CC,"ADDRESS:
3 MIDLEY ROAD
HUGHES
BOKSBURG
TEL:
011-571 7300
FAX:
011-397 44808
TRADE HEADING
TANK SUPPLIERS","3 MIDLEY ROAD
HUGHES
BOKSBURG
TEL; 571 7300
FAX; 397 44808
TRADE HEADING
TANK SUPPLIERS","011-571 7300, 011-397 44808",,
BRIAN VILJOEN & PARTNERS,"ADDRESS:
1 / 213 AUSTIN ROAD
GLEN AUSTIN
MIDRAND
TEL:
011-314 4677
FAX:
011-314 4879
EMAIL:
gerda@brianviljoen.co.za
TRADE HEADING
LAND SURVEYORS","213 AUSTIN ROAD
GLEN AUSTIN
MIDRAND
TEL; 314 4677
FAX; 314 4879
EMAIL","011-314 4677, 011-314 4879",gerda@brianviljoen.co.za,
REBECCA\'S BEAUTY SALON.,"ADDRESS:
BRYAN PARK SHOPPING CENTRE
GROSVENOR ROAD
BRYANSTON
SANDTON
TEL:
011-706 8164
EMAIL:
rebeccakumalo.m@gmail.com
TRADE HEADING
BEAUTY SALON","706 8164
EMAIL",011-706 8164,rebeccakumalo.m@gmail.com,
TIRELO SUPERMARKET,"ADDRESS:
40 PRESIDENT STREET
KRUGERSDORP
MOGALE CITY
TEL:
011-665 2484
EMAIL:
pranash.pillaya@gmail.com
TRADE HEADING
discount stores","40 PRESIDENT STREET
KRUGERSDORP
MOGALE CITY
TEL; 665 2484
EMAIL",011-665 2484,pranash.pillaya@gmail.com,
THERABEAUTIC SKIN & BODY CLINIC.,"ADDRESS:
CAMBRIDGE CROSSING SHOPPING CENTRE C/O WITKOPPEN ID & STONEHAVEN PAULSHOF
SANDTON
TEL:
011-803 4411
EMAIL:
sandy@therabeautics.co.za
TRADE HEADING
BEAUTY SALON","803 4411
EMAIL",011-803 4411,sandy@therabeautics.co.za,
PROLUBE MARKETING CC,"ADDRESS:
SMITH ROAD
ROODEKOP
GERMISTON
TEL:
011-866 1460
EMAIL:
prolube@netactive.co.za
TRADE HEADING
LUBRICANTING EQUIPMENT","866 1460
EMAIL",011-866 1460,prolube@netactive.co.za,
TALISMAN PLANT & TOOL HIRE SECUNDA (PTY) LTD,"ADDRESS:
SCHEEPERS STREET
PRO-VST BUILDING 
SECUNDA
TEL:
017-631 1649
FAX:
017-634 4607
TRADE HEADING
LIGHTING HIRE","631 1649
FAX; 634 4607
TRADE HEADING
LIGHTING HIRE","017-631 1649, 017-634 4607",,
TECHNILUBE CC,"ADDRESS:
76 12TH KEW
JOHANNESBURG
TEL:
011-887 1923
FAX:
086-500 6777
EMAIL:
accounts@techilube.co.za
TRADE HEADING
LUBRICANTS","76 12TH KEW
JOHANNESBURG
TEL; 887 1923
FAX; 500 6777
EMAIL","011-887 1923, 086-500 6777",accounts@techilube.co.za,
DYNAMIC SOLUTION STAFFING,"ADDRESS:
7 ELM STREET
MARAIS STEYNPARK
EDENVALE
TEL:
011-452 1768
EMAIL:
info@dynamicstaffing.co.za
TRADE HEADING
PERSONNEL CONSULTANTS","7 ELM STREET
MARAIS STEYNPARK
EDENVALE
TEL; 452 1768
EMAIL",011-452 1768,info@dynamicstaffing.co.za,
PHILLIPS POWERHOUSE DICTATION SYSTEMS,"ADDRESS:
1ST FLOOR AUTO PARK HOUSE
13 PARKS CRESCENT
ENGLAND HAZEL
TEL:
011-887 1056
FAX:
086-555 3833
TRADE HEADING
OFFICE EQUIPMENT SUPPLIERS","13 PARKS CRESCENT
ENGLAND HAZEL
TEL; 887 1056
FAX; 555 3833
TRADE HEADING
OFFICE EQUIPMENT SUPPLIERS","011-887 1056, 086-555 3833",,
SPRINGBOK USED MOTOR PARTS SUMP (PTY) LTD,"ADDRESS:
1 ERMELO ROAD
SPRINGS
GAUTENG
TEL:
011-811 6666
FAX:
011-811 5661
EMAIL:
hr@sump.co.za
WEBSITE:
www.sumo.co.za
TRADE HEADING
CAR PARTS","1 ERMELO ROAD
SPRINGS
GAUTENG
TEL; 811 6666
FAX; 811 5661
EMAIL","011-811 6666, 011-811 5661",hr@sump.co.za,
KHIXI BUSINESS ENTERPRICE,"ADDRESS:
BLOCK UU
SOSHANGUVE
CELL:
083 605 5071
EMAIL:
khi@ibusinessenterprice.yahoo.com
TRADE HEADING
SANITARY HYGIEN PRODUCTS","083 605 5071
EMAIL",083 605 5071,khi@ibusinessenterprice.yahoo.com,
C J BUILDING CONSTRUCTION,"ADDRESS:
1 CILLERS STREET
SUIDEROOD
JOHANNESBURG
GAUTENG
2001
CELL:
083 990 5430
EMAIL:
admin@cjbuilding.co.za
WEBSITE:
www.cjbuilding.co.za
TRADE HEADING
BUILDING CONTRACTORS","1 CILLERS STREET
SUIDEROOD
JOHANNESBURG
GAUTENG
2001
CELL; 083 990 5430
EMAIL",083 990 5430,admin@cjbuilding.co.za,
COMMERCIAL SHEARING (PTY) LTD,"ADDRESS:
10 DARTFIELD ROAD
JET PARK
BOKSBURG
TEL:
011-397 4264
FAX:
011-397 3114
EMAIL:
accounts@commercialshearing.co.za
TRADE HEADING
HYDRAULIC SERVICES","10 DARTFIELD ROAD
JET PARK
BOKSBURG
TEL; 397 4264
FAX; 397 3114
EMAIL","011-397 4264, 011-397 3114",accounts@commercialshearing.co.za,
UNIQUE PERSONNEL (PTY) LTD,"ADDRESS:
8 THISTLE ROAD
KEMPTON PARK
TEL:
011-970 3166
EMAIL:
steve@unique.co.za
TRADE HEADING
PERSONNEL CONSULTANTS","8 THISTLE ROAD
KEMPTON PARK
TEL; 970 3166
EMAIL",011-970 3166,steve@unique.co.za,
SIYAHAMBA ENGINEERING (PTY) LTD,"ADDRESS:
196 LAMP ROAD
WADEVILLE
GERMISTON
TEL:
011-824 2183
FAX:
011-824 0080
EMAIL:
ntswaki@siyahamba.co.za
TRADE HEADING
RAIL TRANSPORT","196 LAMP ROAD
WADEVILLE
GERMISTON
TEL; 824 2183
FAX; 824 0080
EMAIL","011-824 2183, 011-824 0080",ntswaki@siyahamba.co.za,
J C P STEEL SUPPLIES ( PTY) LTD,"ADDRESS:
4TH AVENUE & 3RD STREET
VORSTERSKROON
NIGEL
TEL:
011-814 1898
FAX:
011-814 2166
EMAIL:
renitia@jcpsteel.co.za
TRADE HEADING
IRON & STEEL PRODUCTS","814 1898
FAX; 814 2166
EMAIL","011-814 1898, 011-814 2166",renitia@jcpsteel.co.za,
MOSEC ELECTRICAL.,"ADDRESS:
1060 MPOPHOMA STREET
KLIPFONTEIN
MIDRAND
CELL:
078 386 1578
FAX:
086-515 6945
EMAIL:
tiny@mosec.co.za
TRADE HEADING
ELECTRICIANS","1060 MPOPHOMA STREET
KLIPFONTEIN
MIDRAND
CELL; 078 386 1578
FAX; 515 6945
EMAIL","078 386 1578, 086-515 6945",tiny@mosec.co.za,
BULI'S HYGIENE CHEMICALS,"ADDRESS:
SETSENG S CENTRE
MOKOENA STREET
TOKOZA
TEL:
011-905 2808
FAX:
011-905 2808
TRADE HEADING
SANTARY HYGIEN PRODUCTS","905 2808
FAX; 905 2808
TRADE HEADING
SANTARY HYGIEN PRODUCTS","011-905 2808, 011-905 2808",,
LUBREQUIP VAAL (PTY) LTD,"ADDRESS:
7 TROOST STREET
DUNCANVILLE
VEREENIGING
TEL:
016-421 4646
EMAIL:
lubevaal@compumail.co.za
TRADE HEADING
HYDRAULIC SERVICES","7 TROOST STREET
DUNCANVILLE
VEREENIGING
TEL; 421 4646
EMAIL",016-421 4646,lubevaal@compumail.co.za,
TOPPRO PLACEMNETS CC,"ADDRESS:
267 OAK AVENUE
FERNDALE
RANDBURG
TEL:
011-789 9480
FAX:
086-584 7222
TRADE HEADING
PERSONNEL CONSULTANTS","267 OAK AVENUE
FERNDALE
RANDBURG
TEL; 789 9480
FAX; 584 7222
TRADE HEADING
PERSONNEL CONSULTANTS","011-789 9480, 086-584 7222",,
LARA TRAVEL (PTY) LTD,"ADDRESS:
THE GLEN CENTRE
BOUNDRY ROAD
OAKDENE
JOHANNESBURG
TEL:
011-435 6742
FAX:
011-435 6731
EMAIL:
lara@laratravel.co.za
TRADE HEADING
TRAVEL AGENTS","435 6742
FAX; 435 6731
EMAIL","011-435 6742, 011-435 6731",lara@laratravel.co.za,
MAIN SCRAP & MACHINERY CC,"ADDRESS:
1818 KENNIS ROAD
ELANDSFONTEIN
GERMISTON
TEL:
011-974 3285
FAX:
011-974 3206
TRADE HEADING
SCRAP DEALERS","1818 KENNIS ROAD
ELANDSFONTEIN
GERMISTON
TEL; 974 3285
FAX; 974 3206
TRADE HEADING
SCRAP DEALERS","011-974 3285, 011-974 3206",,
DAY 1 HEALTYH (PTY) LTD,"ADDRESS:
54 PETER PLACE
BRYANSTON
SANDTON
TEL:
086-111 3513
FAX:
011-463 0600
EMAIL:
richard@day1.co.za
TRADE HEADING
HEALTH INSURANCE","54 PETER PLACE
BRYANSTON
SANDTON
TEL; 111 3513
FAX; 463 0600
EMAIL","086-111 3513, 011-463 0600",richard@day1.co.za,
WORLD ENGINE & TRANSMISSION,"ADDRESS:
7 KRUPP STREET
VANDERBIJILPARK NW 7
VANDERBIJILPARK
TEL:
016-986 2196
FAX:
016-986 1899
EMAIL:
info@worldengine.co.za
TRADE HEADING
DIESEL ENGINEERING","7 KRUPP STREET
VANDERBIJILPARK NW 7
VANDERBIJILPARK
TEL; 986 2196
FAX; 986 1899
EMAIL","016-986 2196, 016-986 1899",info@worldengine.co.za,
SOUTHEY CONTRACTING,"ADDRESS:
8 GERMINI STREET
RIVONIA
SANDTON
TEL:
011-579 4600
FAX:
011-579 4638
EMAIL:
wbam@southey.co.za
TRADE HEADING
INSULATION INSTALLERS","8 GERMINI STREET
RIVONIA
SANDTON
TEL; 579 4600
FAX; 579 4638
EMAIL","011-579 4600, 011-579 4638",wbam@southey.co.za,
MACSTEEL REINFORCING,"ADDRESS:
14 WOLVERHAMPTON STREET
APEX
BENONI
TEL:
011-845 9600
FAX:
011-421 4426
TRADE HEADING
WIRE PRODUCTS","14 WOLVERHAMPTON STREET
APEX
BENONI
TEL; 845 9600
FAX; 421 4426
TRADE HEADING
WIRE PRODUCTS","011-845 9600, 011-421 4426",,
TRUFORM CHEMICALS (PTY) LTD,"ADDRESS:
31 GEMSBOK STREET
KOEDOESPOORT
PRETORIA
TEL:
011-333 0121
FAX:
011-333 0189
TRADE HEADING
LAUNDRY EQUIPMENT","31 GEMSBOK STREET
KOEDOESPOORT
PRETORIA
TEL; 333 0121
FAX; 333 0189
TRADE HEADING
LAUNDRY EQUIPMENT","011-333 0121, 011-333 0189",,
THORNY BUSH GAME LODGE,"ADDRESS:
CNR OF RIVONIA BOULERVARD & MUTUAL ROAD
RIVONIA VILLAGE
TEL:
011-253 6500
FAX:
011-803 7350
EMAIL:
andre@thornybush.co.za
TRADE HEADING
HOTEL ACCOMMODATION","253 6500
FAX; 803 7350
EMAIL","011-253 6500, 011-803 7350",andre@thornybush.co.za,
KAY VEE HIRING,"ADDRESS:
26 HELLIODORE CRESCENT
ENNERDALE
GRASMERE
TEL:
011-855 6613
FAX:
011-855 6613
TRADE HEADING
WEDDING HIRE SERVICES","26 HELLIODORE CRESCENT
ENNERDALE
GRASMERE
TEL; 855 6613
FAX; 855 6613
TRADE HEADING
WEDDING HIRE SERVICES","011-855 6613, 011-855 6613",,
ALPHA CREATIONS,"ADDRESS:
16 SUIKERBOS AVENUE
RANDPARK RIDGE
RANDBURG
TEL:
011-791 7200
EMAIL:
sales@alphacreations.co.za
TRADE HEADING
AQUARIUM & POND SUPPLIES","16 SUIKERBOS AVENUE
RANDPARK RIDGE
RANDBURG
TEL; 791 7200
EMAIL",011-791 7200,sales@alphacreations.co.za,
MONTANA LAUNDRIES & EQUIPMENT,"ADDRESS:
82 RIGGER ROAD
SPANTAN
KEMPTON PARK
TEL:
011-975 1077
FAX:
011-975 3809
TRADE HEADING
LAUNDRY EQUIPMENTS","82 RIGGER ROAD
SPANTAN
KEMPTON PARK
TEL; 975 1077
FAX; 975 3809
TRADE HEADING
LAUNDRY EQUIPMENTS","011-975 1077, 011-975 3809",,
UNLIMITED PROJECTS,"ADDRESS:
41 SAND STREET
SOWETO
CELL:
073 620 9974
FAX:
011-467 1056
TRADE HEADING
DOMESTIC MAINTENANCE & REPAIR SERVICES","41 SAND STREET
SOWETO
CELL; 073 620 9974
FAX; 467 1056
TRADE HEADING
DOMESTIC MAINTENANCE ","073 620 9974, 011-467 1056",,
MIDWAY MICA HARDWARE,"ADDRESS:
MIDWAY MEWS
11TH ROAD
MIDRAND
TEL:
011-805 5095
FAX:
011-315 0469
TRADE HEADING
HARDWARE STORES","805 5095
FAX; 315 0469
TRADE HEADING
HARDWARE STORES","011-805 5095, 011-315 0469",,
HAMMERTONE FUEL,"ADDRESS:
28 GREER STREET
MARYVLEI
BRAKPAN
TEL:
011-737 2910
FAX:
011-737 2906
TRADE HEADING
OIL FUEL DISTRIBUTORS","28 GREER STREET
MARYVLEI
BRAKPAN
TEL; 737 2910
FAX; 737 2906
TRADE HEADING
OIL FUEL DISTRIBUTORS","011-737 2910, 011-737 2906",,
JACUELINE PROUD FOOT,"ADDRESS:
66 1 AVENUE
DUNVEGAN EDENVALE
TEL:
011-453 5019
FAX:
011-453 5019
TRADE HEADING
SHOE MAKERS","66 1 AVENUE
DUNVEGAN EDENVALE
TEL; 453 5019
FAX; 453 5019
TRADE HEADING
SHOE MAKERS","011-453 5019, 011-453 5019",,
VINCENT INDUSTRIAL SUPPLIES (PTY) LTD,"ADDRESS:
48 INDUSTRIAL CRESCENT
WITBANK
TEL:
013-692 8151
FAX:
013-692 8154
TRADE HEADING
DAIRY PRODUCTS","48 INDUSTRIAL CRESCENT
WITBANK
TEL; 692 8151
FAX; 692 8154
TRADE HEADING
DAIRY PRODUCTS","013-692 8151, 013-692 8154",,
EASY SECURITY GAURDS (HEAD OFFICE),"ADDRESS:
4 PEMBROOKE STREET
SYDENHAM
JOHANNESBURG
TEL:
011-640 1654
EMAIL:
judith@easysecurity.co.za
TRADE HEADING
intercom systems","4 PEMBROOKE STREET
SYDENHAM
JOHANNESBURG
TEL; 640 1654
EMAIL",011-640 1654,judith@easysecurity.co.za,
