Name,Category,Phone,Email,Description
Eendag Meule (Pty) Ltd,Manufacturing & Logistics,0565151309,,
ABS Hyper Army Stores,Retail,,,
Eagle Fluea Injection,Retail,834 076 791,,
Driehoek Kunsmis Bk,Associated Partnerships,0565154100,,
JDM Collective Media,Media,(012) 548-2370,,
Janine Smit Editorial Services,Finance & Business Services,(012) 349-2029,,"Your publication is our masterpiece
Successful corporate communication requires innovative and creative communication products that can reach the precise audience for which it is intended with a custom-made message. To do this for your company, you need..."
Jana's Gift Box,Wholesale & Retail,(076) 457-9866,,
Jan Harmsgat  Agterplaas SE (Member),Functions & Events,012 734 1583,,
Jalia Technologies (Pty) Ltd,Communications (ICT),012 683 8893,,
Tiggsfurno,Associated Partnerships,795 411 195,,
Steelburger/Lowvelder,Agriculture & Environment,,,
La Coco C Food Purveyors,Tourism & Events,012 809 1603,,
Kwapele Learning and Consulting (PTY) Ltd,Finance & Business Services,(082) 897-2766,,
Konsortium Solutions,Marketing,072 328 1996 / 012 567 0769,,"Our Story
Shelley Kotze, owner of Konsortium Solutions, has been working in the digital marketing space since 2011. A highly-competent and focused professional, she has an in-depth understanding of the digital landscape with a passion for communication a..."
Klofiesig Backpackers,Accommodation,083 625 4234,,
Kruger Lowveld Chamber of Business and Tourism,Associated Partnerships,(013) 755-1988,,
Klitzgras Chalets,Self  Catering,(013) 235-2758,,
Koi Restaurant & Sushi Bar - Lynnwood Bridge,Food & Beverage,012 348 5722,,
Klinkenberg Attorneys,Legal,012 653 2048,,
Kifaru Travel,Travel,(083) 345-0340,,
Green House Media,Finance & Business Services,073 174 6284,,"Green House Media is a registered CC, reg. no. 2010/118933/23 and B-BBEE 4 contributor. This thriving business is owned by Multimedia Artist, Nicole Weatherby, who has her MA Media Art from Manchester Metropolitan University, UK, who specialises in creati..."
Forever Hotel @ Centurion,Hotels,(012) 644-6013/21,,
Garden Court Hatfield,Accommodation,012 432 9600,,
Foundry Guest Lodge,Game Lodge,083 333 9579,,
Gautrain,Logistics,0800 428 87246,,
Glotram International,Manufacturing,012 991 2583,,
Future Planning,Finance,012 346 3409,,
Customer Service Excellence,Business Support,(0)83 255 2729,,ARMS (Audio Recording Monitoring System) is primarily an uplifting skills development and managing tool to help staff get better at their jobs and improve customer service.This system empowers staff to adapt their approach and techniques according to the...
Fireplan,Finance & Business Services,010 010 7154 / 012 663 1362,,We have a reputation for introducing performance based design approaches in locations where such designs have not been applied before. Our Fire Engineering experience can deliver state of the art design advice. Fire safety engineering is a rapidly develop...
Feature Doors,Office Furniture,013 235 4521,,
Full Range Employers Organisation,Legal,012 660 0414,,
Financial Solutions,Finance & Business Services,(012) 365-3146,,"Signum is an exciting financial services company, which offers professional, independent financial advice to our clients. Our qualified, registered financial advisors offer a unique one-stop integrated service, providing a diverse range of solutions and o..."
Fine Art Printers cc,Corporate Gifts & Branding,(012) 666-7093,,"A company's image is it's finest selling point. We at Fine Art Printers, are committed to service, technology and providing each client with individual solutions to their specific needs. We believe in keeping pace with the exciting technological advances..."
Extra Engineering,Manufacturing & Logistics,012 541 0453,,
Expasa Business Consulting,Finance & Business Services,(086) 554-1275,,"Welcome to Expasa Business Consulting
EBC was founded in 2003 and is a business consulting agency that focuses on business optimization and human resource enhancement.
We believe that every human being, irrespective of their social standing or educa..."
Global Kingdom Communications,Technology,,,"In 2019, the freedom to connect is a fundamental human right.
Kingdom Global Communications seeks to advocate for that right
by expanding data access to users globally.
Using satellite reach, internet connectivity, and mobile platforms,
Kingdom Global..."
Excel Recovery Services,Risk Management,(086) 111-3826,,"About Us
Our Secret to Success
Our success rate reflects, amongst other things, our specialised knowledge of dilectual liability in Motor Law.
We are also fully aware of the vital importance of a well managed recovery system to control any department o..."
Energy Cybernetics,Engineering,012 369 9880,,
Enomis Solutions,Hardware & Software,082 387 1106,,"With over 25 years experience in the field, we pride ourselves on professional service and long standing business relationships with our clients."
Fastrak Trading,Manufacturing,012 803 0333,,"Fastrak is a retailer focusing on providing quality audio and electronics equipment to aspiring DJ’s and musicians as well as establishments such as places of worship,educational institutions and taverns. We also cater for car audio enthusiasts and th..."
Citadel Philanthropy Foundation,Funding Support,021 670 9100,,"MORE THAN JUST WEALTH MANAGEMENTTransformation and giving back are strategic focus areas for Citadel. This encompasses large initiatives that include driving transformational change within the financial services industry, to the smaller things that touch..."
Loving Thy Neighbour,Funding Support,012 665 5743,,"Loving Thy Neighbour was started by Inequity Holdings as an attempt to address their social responsibility. The Non-Profit Company was registered during 2016 and we started assisting our Partners during the early part of 2017.
The focus of Loving Thy Nei..."
MTE,Sector Support,0115794940,,"Mining and Technical Exhibitions (MTE), a division within IMD, celebrated its 25th birthday in 2018 and has made a name for itself since 1993 through countless shows at mines across South Africa and the African continent.
Since the dawn of the new South..."
Institute for Rural and Community Development,Sector Support,082 651 3456,,"Our country is facing challenges that will determine the future of its success. Strikes, poverty and hunger on a large scale, the continued threat of HIV/AIDS and an emerging youth growing up without a clear direction of the future. We are reminded of the..."
E-Commerce,Technology,(012) 665 5749,,"Inequity Holdings is the GrowSA partner for E-commerce. As a result of this partnership, business chambers can receive online payments for:1. Membership fee’s2. Event registrations, and3. Project funding"
EMS Industries Pty LTD,Engineering,012 348 7464 / 083 698 1154,,"Our mission as EMS Industries is to provide professional competitive solutions with excellence to meet the needs of our clients in the realms of technology, product development and system design. - Telemetry Systems - Measuring and Monitoring Systems - Em..."
EMD Professional Consulting Services,Communications (ICT),012 331 3563,,"PRODUCTIVITY IS THE KEY TO BUSINESS SUCCESS.
USE AFFORDABLE CUSTOMISED COMPUTER PROGRAMMES
We develop all types of customised computer programmes at extremely affordable prices to enable your business to become more productive.&nbsp;
Do not underestima..."
ESKOM,Electrical,012 421 3225 / 012 421 3225,,
Electroweb,Manufacturing & Logistics,(012) 403-8300,,"Established in 1990, Electroweb from humble beginnings on a 60 square meters premises with a staff of four members grew to the current approximate 6,000 square meters factory with a staff count of more than 65 people and a turnover of R43 million (US$6 mi..."
Electrosec,Manufacturing & Logistics,0861557755,,
EDU Advertiser,Marketing,076 152 7320,,
Easy Health Wellness,Slimming / Weight loss,082 852 3202,,Weight loss authority Ajita Ratanjee is a registered dietitian in Pretoria. She completed her BDietetics degree and graduated from the University of Pretoria. Her professional career started at the state hospital Steve Biko where she consulted a variety o...
E & S Engineering,Manufacturing,012 541 5006,,
Duvenhage Prokureurs,Legal,072 012 2596,,
Driving school and transport,Manufacturing & Logistics,0760881057,,"Guest Resources Services welcomes you
Employers all envisage an environment in which passionate and knowledgeable staff work together to drive the core values of their organizations to greater heights. Through our very long experience in human resour..."
Dr. Tooth Little Express “Dentist on the Move”,Health & Medical,012 548 3381,,"Dr Surine Barnes, the brainchild behind Dr Tooth Little, has over 13 years of dental experience,
including surgery. Surine has children of her own, so she has just the right touch to make your little one feel comfortable.
Dr Tooth Little not only works..."
Philton Leather,Manufacturing,012 803 8815,,
Hirsch's Silverlakes,Wholesalers,012 817 4900,,"An appliance repairman who unwittingly became an entrepreneur, Allan Hirsch and his wife Margaret started their family-run appliance business in a tiny showroom on Umhlanga Rocks Drive, Durban, in 1979 with just R900 that they had saved.Today, Hirsch’s ha..."
Professionality Institute (SA),Business Support,082 774 2413,,"VISION:&nbsp;
Help grow the next generation of visionary and capable business leaders,
making Africa more competitive.
COMMERCIAL MISSION:&nbsp;
Make strategy easy; Coaching business success.
&nbsp;SOCIAL MISSION:&nbsp;
Get people workplace ready; M..."
Multi Waste,Waste Removal,012 808 0011,,
Le Sentier,Associated Partnerships,,,
Lybasol,Agriculture & Environment,(013) 235-2115,,
Lydenburg Dental Centre,Health & Medical,(013) 235-1983,,
LM in the East,Tourism & Events,012 348 3359,,
Longtom Superspar,Shopping Centre,(013) 235-2764,,
LINK Business Brokers,Insurance,082 600 3848,,
Linda Jacobs,Retail,,,
Liezel Korf Associates,Finance & Business Services,084 606 2666,,
Life Med,Health & Medical,(012) 330-9412,,
Leriba Hotel and Spa (Member),Lodges,012 660 2433,,
Le Gae African Cuisine,Tourism & Events,(074) 040-3681,,
LED consult,Finance & Business Services,(082) 452-9306,,
Laske Nakke,Tourism & Events,(013) 235-2886,,
Langsipad Vetkoek Deu & Take-Away,Food & Beverage,,,
Langs Die Spaar Succulents,Associated Partnerships,,,
LAB.FAM.TRUST,Associated Partnerships,832 301 096,,
Mobile Crane Hire / Truck Hire,Road Transport,082 457 4663,,
Mercfire Amalgamated (Pty) Ltd,Finance & Business Services,012 549 0396 / 082 892 2170,,"&nbsp;Welcome To Mercfire Extinguisher Services
Breaking out of the habit is the number one priority in your fire safety strategy. Good housekeeping, including some simple steps such as banning smoking, testing ele..."
Mentor Associates (Management & Business Consultants),Coaching & Mentoring,082 755 4100,,"Management &amp; Business Consulting, Coaching, Mentorship. Let us help you to take your business to the next level. Develop a competitive advantage by identifying and launching that next big breakthrough or advance in your industry. Somebody is going to..."
Melissa Burger Kinesiology,Health & Medical,076 410 9006,,"The pressures of modern-day life are numerous and those pressures affect us all. The bad news is that left unattended, these pressures will influence your health negatively and can even do permanent damage to your health and overall well-being. Kinesiolog..."
Maureen Kritzinger Tandarts,Associated Partnerships,(013) 235-1035,,
Mashilo and Nell (Pty) Ltd,Finance,828554433,,
Martins Funerals Lydenburg,Insurance,(084) 587-5666,,
Mapogo Shield,Safety & Security,012 679 5011,,
Malakoot Asset Risk Protection,Safety & Security,012 663 1362 / 010 010 7154,,"MALAKOOT ASSET RISK PROTECTION was founded in 2013. The company’s value- added services are marked by professionalism and quality – with a client base consisting of Embassies, Residential Estates, Warehouses, Factories and Business Parks.
We are a proudl..."
Machics Restaurant & Alehouse,Restaurants,012 807-2783,,
Mabule International,International Trade,071 875 0854,,
M & M Caterers,Catering,,,
Lydenburg Toyota,Wholesale & Retail,(013) 235-1780,,
Lydenburg Eiendomme,Associated Partnerships,(013) 235-1986,,
Netshield (PTY) LTD,Manufacturing,861 114 428,,
Nedbank Business Banking,Banking,(013) 283-1700,,
Namaskar Restaurant,Restaurants,012 342 9081,,
MV Glas + Aluminium,Building Services,(082) 499-5432,,
MSSA,Finance & Business Services,(012) 346 0718 / 083 252 9176,,Marketing Surveys &amp; Statistical Analysis (MSSA) is a leading market research company in South Africa. Market research is an organised effort to gather information about markets or customers. It is used as an important component of a business strategy....
Moyahabo Projects,Infrastructure & Construction,(082) 452-9306,,
Move,Health & Medical,(082) 572 3971,,
Motherson,Engineering,012-541-1575,,
Montigroei Distributors,Manufacturing & Logistics,012 804 1280 / 082 469 6723,,"We currently have two members in the corporation. Izak du Plessis, who has matriculated in 1980, studied B Comm (Accountancy). He has worked as a financial manager at Sanachem until he started his own business with Johan in 1999. He is currently the Manag..."
Montes Advisors (Pty) Ltd,Finance & Business Services,(083) 227-4625,,
Monarch Transnational Trading,Import & Export,,,
Monarch Transnational Marketing,Marketing,012 734 2112,,
Mokheseng Commodities,Associated Partnerships,815 777 012,,
Rooidraai Konstruksie,Construction,(013) 235-1488,,
Retief en Muller,Associated Partnerships,0565152125,,
Platform 9,Furniture,,,
Plam Island In,Hotels,828 149 079,,
Pieter Pieterse,Associated Partnerships,,,
Piet van der Merwe & Ass Inc t/a vdma,Legal,011 063 2560,,
Phoenix Flying Squad,Associated Partnerships,,,
Petit Cadeau,Retail,,,
Omni Delta (Pty) Ltd,Engineering,012 541 1995,,
Obaro,Preventative Care,(012) 381-2935,,"Die Obaro Storie Obaro se kliëntebasis sluit die hele spektrum van boerdery-aktiwiteite in, sowel as die algemene publiek. Die Obaro winkels bied ?n wye reeks landboubenodigdhede soos saad, kunsmis, chemikalieë, besproeiingstoerusting, veevoere en medisyn..."
NPA Accountants,Accountants,823110993,,
NOMCEBO PRINTER,Copying & Printing,132354542,,
Nicci Angelo,Associated Partnerships,,,
NG Kerk Lyd Suid,Associated Partnerships,(087) 808-6384,,
New Season Jewellery,Wholesale & Retail,,,
DIY Depot,Associated Partnerships,0565154000,,
Divine Touch Piano,Exhibitions & Shows,078 107 0141,,"WELCOME...&nbsp; &nbsp; &nbsp;
Welcome to a few minutes of quiet time with me…
To share my Passion… My dream!
The biggest blessing on earth is certainly to be a ‘Servant of Music’ to..
Corporate Breakfasts, Lunches or Gala Dinners..
Hotel Lounges and..."
Ditasa,Training,012 682 9580,,
Discovery Specialist,Health & Medical,(083) 604-4647,,
Dinonyane Bush Lodge,Lodges,082 710 8440,,
Destinata Capital,Financing,012 991 3558,,"Destinata Capital is a registered Venture Capital Company in terms of Section 12J of the Income Tax Act 58 of 1962, and licensed in terms of Section 7 of the Financial Advisory and Intermediary Services Act.
Our goals are to offer investors a tax efficie..."
Baptiste Kerk,Associated Partnerships,(013) 235-3051,,
Anglican Church,Associated Partnerships,,,Anglican Church in Lydenburg and Mashishing
Cavalier Group,Associated Partnerships,1059,,
Denise James(Sr),Associated Partnerships,(083) 632-2901,,
De Ark Guest House,Guest Houses,(013) 235-1125,,
Data and Decision Pty (Ltd),Communications (ICT),079 113 8626,,
Dankhof Guest House,Accommodation,079  971 3713,,
D-FORCE Security,Safety & Security,,,
Curro Thatchfield priv School,Training & Development,082 567 7373,,
CSI Africa,Finance & Business Services,(086) 127-4911,,"Private Forensic Investigation - Pretoria, Gauteng
Pretoria-based CSI Africa was established in 2002. We are driven to promote honesty and increased efficiency in the workplace by assisting companies and individuals with our in-house expertise and access..."
Croatia High Precision Engineering,Engineering,012 541 5052/53,,
SA AIRLINK (PTY) LTD (Member),Easy Travel,(011) 451-7300,,"Airlink's new direct 'City to City' flight, in partnership with South African Airways, will provide Tshwane's business and leisure travellers with a convenient choice of flights between Pretoria, (Wonderboom Airport) and Cape Town. Airlink offers up to 3..."
DailySun,Media,012 485 9048,,
Crown World Wide,Manufacturing & Logistics,076 763 7181,,
Crydel Technologies,Communications (ICT),087 997 0929,,
Creative ME,Websites,0815843843,,
Crawdaddy's Good Food - Menlyn,Food & Beverage,012 460 0889,,
Cornerstone Guest Lodge,Functions & Events,012 361 8100,,"The Cornerstone Lodge is not just another guesthouse but indeed a home that offers you a truly tranquil and private stay. Our home is dedicated to my husband Fritz, who was a cornerstone in so many lives and in particular, mine. He was my mentor and..."
Constantia Guest Lodge,Tourism & Events,012 803 5525,,
Col'Cacchio Pizzeria - Lynnwood Bridge,Restaurants,012 348 3025,,
Consult 10,Hardware & Software,(072) 651-2377,,Provider of business management software to small and medium sized companies Support / Training We offer training and support solutions for all Sage Pastel products. It is essential in the modern workplace for staff to be trained sufficiently in the use t...
Citadel INVESTMENT Investment Management,Financing,012 470 2500,,Citadel is a specialist wealth manager who helps clients explore the true potential of their hard-earned money. We achieve this through character-rich engagement and strong relationships based on mutual respect and trust. For us it’s not just about the nu...
CGS Corporate Security Services,Finance & Business Services,012 546 9483,,"With over 25 years of operation experience, CGS Corporate Security Services has extensive experience in all segments of the market and is among the most preeminent security companies in South Africa.
Our team of exceptional professional work in close par..."
CFO ON CALL,Accountants,012 997 5039,,
Collectables at Café Bree,Food & Beverage,012 346 1904,,
Case V,Attorneys,76821713,,
Business Partners,Finance & Business Services,(012) 347-3208,,"Our mission is to invest capital, skill and knowledge into viable entrepreneurial enterprises in South Africa, Africa and all markets where we have a presence. Our vision is to live our name, being the premier business partner for small and medium enterpr..."
Blue Pointer Steel Office Furniture Manufacturer,Steel,012 541 2472,,"Welcome
BLUE POINTER STEEL OFFICE FURNITURE MANUFACTURER (Pty) Ltd was established in 2003 with the main aim being the manufacturing of steel case goods. Initial products manufactured included items such as Stationery cupboards, Filing cabinets, Lockers,..."
Black Plumb Corporate Enterprises t/a Plumb Creative (P...,Building Services,073 913 3579,,
Bhekani Phezulu,Finance & Business Services,(071) 688-5096,,Bhekani Phezulu&nbsp;is a Pretoria based business which offers training solutions to businesses and educational institutions that have a need to improve skills and knowledge of their employees. The training solution is in the form of e-learning and mobile...
Bestmed Medical Scheme,Life & Disability,(012) 472 6000,,"About Us
Much has changed during the 52 years Bestmed has been in operation. But we’re proud to say that one thing has remained constant:
Our values:&nbsp;Four of which we live, eat and breathe.
Mutual:&nbsp;We believe in a shared experience that i..."
Beeld,Finance & Business Services,012-485-9048,,"Beeld&nbsp;(English: Picture) is an Afrikaans-language daily newspaper that was launched on 16 September 1974. Beeld is distributed in four provinces of South Africa: Gauteng, Mpumalanga, Limpopo, North West. Beeld (English: The Image) was an Afrikaans-la..."
BCE Consulting,Logistics,012 361 1485,,"Welcome to BCE
Welcome to BCE Consulting. We are a customs and incentive service provider, assisting companies in obtaining the maximum benefit from current South African Government incentive programmes. We empower our customers with business tools and s..."
Bachelor Party Venue,Venue Hire,076 661 0116,,
Atrium Architects,Engineering Services,(012) 460-1776,,"Atrium Architects is an architectural business with a distinctive multidisciplinary approach. A spectrum of architectural services is rendered to developers, landlords &amp; other property professional &amp; consultants. Atrium is a design company maintai..."
Arifullah International T/A Super Chicken Centre,Food & Beverage,(012)325-7940,,
Alpha Group,Accounting,082 441 3368,,"We (Alpha Group) are a team of dedicated professionals assisting businesses with our knowledge of finance by creating financial and&nbsp;management statements that provide the necessary information required to drive businesses forward.
We have recently i..."
Alenti 126 Pty Ltd,Agri Processing,087 943 2297,,"Cornerstones
Our Company takes pride in its basic cornerstones, which are independent, teamwork and quality service. Being an independent company, enables us to make prompt decision that are customer suiting. Working in teams, in which we encourage, moti..."
Alan Kissoon Attorneys,Legal Compliance,012 342 7383,,"The firm's areas of specialization includes:

Corporate and Commercial law
International Law
Exchange control advice
Cost Consulting
Forensic Investigations
Labour Law
drafting of contracts and commercial agree-ments
Magistrates and High Court li..."
A La Doodle,Agriculture & Environment,(082) 715 2226,,
Omega Risk Solutions,Safety & Security,012 361 0620,,"Omega Risk Solutions&nbsp;was established by a consortium of risk management experts who are passionate about providing advanced, integrated security solutions to their clients. The management team offers international security management experience gaine..."
Nooitgedacht Trout Lodge,Lodges,(013) 235-3185,,
Plus Plan Short Term Insurance Adm,Finance & Business Services,083 308 6065,,
Office Objects,Furniture,012-342 2501,,"As TURN-KEY SPECIALISTS and Project Managers in the Corporate Office Environment, our comprehensive list of services we render to our clients, include: 


Space planning to optimise your work space; 
Office moves and changes to accommodate your growin..."
Oak Avenue Hair and Beauty (Member),Beauty Services,127 340 527,,
NJW Engineering,Engineering,012 541 3933,,
Nima Marketing Solutions,Marketing,073 702 3177,,
New Africa Developments (Pty) Ltd,Property Developers,012 662 3411,,"Here at NAD, a holistic approach is followed to property development.&nbsp;The focus is not only on creating cost-effective developments that are aesthetically pleasing, but also catering specifically for the needs of the local communities. We want to thi..."
Networds,Finance & Business Services,(+27) 87 470 0498,,"NETWORDS Technology gives you the edge
Competitor Analysis Software
Which keywords are your opposition buying or performing well on?
Keywords and Phrase generation Software
Our software helps us market in “The Long Tail”.
The Long Tail Explained
Fro..."
Oxnead Guesthouse,Guest Houses,012 993 4515,,
Other Lake Restaurant,Tourism & Events,012 808 5250,,
OUTsurance,Finance & Business Services,08 600 60 000,,
Pinnacle Occupational Safety And Health Services,Finance & Business Services,(083) 581-7354,,"Pinnacle - Occupational Safety &amp; Health Services
Pinnacle Occupational Safety and Health Services was established in May 2009 by a group of dedicated Occupational Health and Safety practitioners to establish an organisation that is able to deliver qu..."
Phenyo Global Logistics,Warehouses,072 154 6845,,"Phenyo Global Logistics (PGL)&nbsp;is a&nbsp; South African-based Distribution and Logistics company. PGL is a 100% Black owned, B-BBEE Level 1 contributor committed to maintain B-BBEE status and contribute towards B-BBEE.
We are a fast growing supply ch..."
PB Waardeerder,Associated Partnerships,,,
Pillay Thesigan Inc,Finance & Business Services,012 751 6120,,"Drawing from our strengths and expertise, we have the ability and capacity to offer the following services: Court cases;Divorces;Accident Claims;Deceased Estates;Conveyance;Contracts Labour Matters;Disciplinary Hearings;Business Plans;Business Registratio..."
Pamphlet Experts,Finance & Business Services,012 547 1732,,
Padlangs,Tourism & Events,042 283 0798,,
PwC,Tax & Legal Consulting,(012) 429-0600,,"Other services include accounting and regulatory advice, and attest and attest-related services. Tax assists clients in complying with tax-related legislation and regulations. Our advice covers all aspects of Southern African tax and incorporates human re..."
Producut Pty (Ltd),Steel,(012) 804-0844 / (083) 443-5924,,"Producut offers a more effective&nbsp;alternative&nbsp;lubrication technique in Metal Working Processes compared to the use of Flood Coolant/Water, Soluble Oil and other traditional methods. Our Minimal Quantity Lubrication systems are able to reduce oper..."
Protea Hotel Capital,Tourism & Events,012 322 7795,,
Process Design and Automation,Manufacturing & Logistics,012 547 6524,,PDA enables business systems to become real time and integrated with their value adding processes. We are a single source solution company that provides tools to support the application of world class strategies and constraints-based management principles...
Probity Advisory,Consulting & Strategies,087 822 1095,,"A culmination of long-standing friendships and professional relationships has resulted in the formation of Probity Advisory where skilled professionals have combined in a unique consulting environment, providing an unparalleled service offering to the mar..."
RBI Technical Solutions International (Pty)Ltd,Electrical,(012) 566 3653,,
Private Wealth Management,Finance & Business Services,012 366 1100,,
Quantum Scio / Indigo,Health & Medical,(012) 654-0863,,"Indigo Electro-Physiological Biofeedback system:
The Indigo Biofeedback system is used as a Biofeedback multimedia system. It is designed for stress detection and stress reduction. The system doen not diagnose or treat any disease. It works on stress. St..."
Rascal Frames,Manufacturing,012 335 6012 / 082 901 1339,,
Prima Cut,Manufacturing & Logistics,,,
Potato Seed Production,Agri Processing,(013) 235-3891,,
Pretoria Executive Cottages & Conference Venue,Tourism & Events,(012) 997-2192,,
Pleroma Makelaars,Insurance,082 552 7880,,
WTS SA,Accountants,083 701 8898,,"WTS Global is a leading international tax network. We have a clear tax focus and offer a full-fledged tax service portfolio in all countries. To supplement our offering, we provide adjoining legal and financial advisory services.
Since our foundation in..."
RMS Chartered Accountants,Accountants,(012) 361-7125,,"The business was founded in 2000. &nbsp;In 2004 the practise changed its name to RMS Chartered Accountants.&nbsp;
The managing director Rozel Scheepers has been practising since 2000 and have been joined by Karien de Villiers in May 2012.
Our offices ar..."
Ratio Accounting,Accounting,012 689 2141,,
Probity Advisory,Accountants,087 822 1095,,"A culmination of long-standing friendships and professional relationships has resulted in the formation of Probity Advisory where skilled professionals have combined in a unique consulting environment, providing an unparalleled service offering to the mar..."
Jaylee Financial and Advisory Services,Vat Recovery,012 751 8365,,"Jaylee Group is a broad based business consultancy firm that has three main divisions focused on: Training &amp; Development, Financial Services Consultancy and Project Management Services.&nbsp;The organisation has more than 20 years projects experience..."
IABC Group,Finance & Business Services,011 023 5530 / 073 555 7775,,"What We Do
IntelliLogic Africa Business Consulting (“IABC”) group of consulting businesses offer a broad range of fully integrated services in areas of consulting and financial advisory. IABC’s integrated approach to offering powerful business solutions..."
I-Value,Consulting & Strategies,012 345 2502,,"i-Value are a specialist in Corporate Government Services including:
The retirement fund industry&nbsp;relevant to:

Risk Management
Internal Audit
Forensic investigations
King IV Compliance Reviews
Ad-hoc reviews

The current statistics relevant..."
ESP Bookkeeping Solutions,Finance,(082) 730-1762,,"We use Pastel Business on-line which offers reports on Accounts Receivable, Accounts Payable, Income Statement, Balance Sheet and Trial Balance. As the business owner you can also access your own account on-line, giving you up to date information regardin..."
Bizz acc Accountants,Accountants,(012) 993-0786,,"We are a young accounting firm, with a passion for entrepreneurs &amp; what they do. We pride ourselves in giving them the best service &amp; advice at an affordable price. We service both small to medium sized entities &amp; offer a full accounting packa..."
AMAX SA,Vat Recovery,(086) 111-1964,,
Quick Sell Realty Property Management,Infrastructure & Construction,132354575,,
RAFIYA DEVELOPMENT,Infrastructure & Construction,834 213 271,,
Quick Fit Cupboards,Finance & Business Services,(012) 546-1990,,"QUICK FIT CUPBOARDS CC, is a company with 20 years extensive experience in the Home Improvement industry.
Our phenomenal accelerating growth during the last quarter of 2006 brought us closer to ensure the systematic establishing of professional and busin..."
Quademo Professional Accountants (Member),Accountants,(082) 334-7454,,"It is our believe to provide the most streamlined, ethical, versatile and confidential services in the business. Our founding member Wildie Goosen drives the team with proficiency, passion and vision, to always offer our clients the best possible service..."
LA du Toit Accounting and Management Consultants,Finance & Business Services,078 789 5414,,
Profit Line By Design Pty. Ltd,Accountants,011 510 0067,,
Mazars,Tax & Legal Consulting,012 347 3820,,"Mazars has a long history of professional excellence in South Africa.
Our commitment to the care of our clients and their businesses is strongly reflected in the loyalty they show us - some client relationships we have maintained for over 50 years.
We p..."
Property Coza Centurion West,Developers,,,
Progressive Industrial Relations,Human Resources,071-659-2509,,"In our experience we have determined that time constraints, regular VAT law amendments and in some instances, financial restrictions, prevent companies from thoroughly assessing their VAT affairs. Finance departments often assume that all of the necessary..."
Profit Recovery Solutions (Pty) Ltd,Communications (ICT),0861 000 656,,
Royal Mechanical Services,Engineering,012 541 7818,,
Rosslyn Petro City Joued Trading Pty Ltd,Petrol Stations,012 541 1800,,"Over nearly a century, Total has grown its business in more than 130 countries. Total is now a major player in the oil, gas and chemical industries. Its shareholders and employees come from a diverse range of backgrounds.
The Total brand’s presence in th..."
Royal Mechanical Services,Engineering,012 541 7818,,
Rosslyn Health Shop,Health & Medical,082 504 8244,,
Ross & Jacobsz Ing.,Finance & Business Services,012 348-1088,,
Rooidraai Konstruksie,Construction,(013) 235-1488,,
Roelof van Rooyen Vennote,Finance & Business Services,(012) 547-0490,,
Ristorante L'isola,Tourism & Events,012 807 7931,,
Robertson Sakekamer,Associated Partnerships,0833 812 461,,
Roy Campbell Recycling,Energy Optimisation,(078) 181-6641,,
Rifan Packaging	alet.beukes@gmail.com,Manufacturing,0823549208,,
RMG Forensic Service,Safety & Security,(012) 543-6400,,
Ritrovo Ristorante,Tourism & Events,012 460 5173,,
Rhino Roastery,Tourism & Events,012 347 6050,,
Rhapsody's Lounge,Tourism & Events,012 348 0591,,
Sherewood Lodge,Tourism & Events,012 809 2398,,
Stock Market College,Finance & Business Services,011 315 1000,,"Stock Market College’s mission is to provide quality, learning opportunities to all candidates wanting to educate themselves in the Stock Market. The aim is to produce independent students able to play a creative role in their community as well as in broa..."
Shayamanzi Game Pty. Ltd,Finance & Business Services,(012) 460-0207,,"There are probably less leopards left in the world than the number of rhinoceros left in South Africa. www.leopard.tv is a true South African website with a combination of game, predator and leopard stories, as well as a leopard project, uniquely packaged..."
Shanduka Black Umbrella,Finance & Business Services,(012) 342-5678,,
SG Smith & Kie Ouditeure,Tax & Legal Consulting,012 644 0390,,
Selati Roof Trusses,Building Automation,(013) 235-4198,,
Sectional Title Administrators,Professional Services,012 547 6785,,"Sectional Title Administrators &nbsp;is the brainchild of Johan van der Walt .
He has a B.Comm degree and years of experience as a trustee in various portfolios in two schemes.
He has 30 years of managerial&nbsp;experience in various industries&nbsp;lik..."
Secor Precision Tools (Pty) Ltd,Manufacturing & Logistics,(012) 541-3321,,
Scibotron (Pty) Ltd,Communications (ICT),0733080396,,"History
Scibotron was founded in 2013, and has since gained a reputation as an automation company that “turns projects around” through industry leading technical solutions and exemplary project management.
“For Eternity”, our slogan, speaks to our quali..."
Santam,Investments,012 369 1227,,"At Santam, we believe in a simple principle.We believe that insurance is something that should add value, not questions or uncertainty. It should provide peace&nbsp;of mind, not parameters or excuses, and that has been our philosophy since we first opened..."
Sanlam Business Market,Life & Disability,0860 100 539,,"About
Since our establishment in 1918, Sanlam has been a prominent part of the South African business landscape. We have always held a long-term view of how business adapts to the demands of the environment in which it operates.
Today, in a dynamic worl..."
Sanctuary Farm Produce,Food Manufacturer,,,
Sacramento Spur,Food & Beverage,,,
SABC,Finance & Business Services,(012) 431-5319,,"VISION&nbsp;
The SABC inspires change through enriching, credible, relevant and compelling content that is accessible by all.
Mission
To educate, inform and entertain all audiences accessing SABC services.
Values


Conversations and Partnerships
&..."
SA Poskantoor,Finance & Business Services,,,
